filial;id_venc;codigo;descricao;lote;qtd_vencendo;dt_vencimento;prc_venda
11;00061768;280950;BISC CLUB SOCIAL PRESUNTO 141G;;15;202608;4;
30;00068099;280950;BISC CLUB SOCIAL PRESUNTO 141G;;15;202608;4;
76;00040816;292710;IOIO MIX COPO CHOC/CHOC BR 41,;;8;202608;4;
72;00030546;989860;REFRI SPRITE 350ML            ;;2;202607;3;
27;00060334;443948;AGUA CRYSTAL C/GAS 500ML      ;;24;202607;2;
56;00006906;475785;BISC PIRAQUE RECH CHOCOLATE 16;;11;202608;3;
30;00018515;475785;BISC PIRAQUE RECH CHOCOLATE 16;;2;202607;3;
15;00020414;475785;BISC PIRAQUE RECH CHOCOLATE 16;;7;202608;3;
7;00028462;475785;BISC PIRAQUE RECH CHOCOLATE 16;;2;202607;3;
61;00037624;475785;BISC PIRAQUE RECH CHOCOLATE 16;;4;202608;3;
40;00078906;475785;BISC PIRAQUE RECH CHOCOLATE 16;;1;202607;3;
69;00036204;475793;BISC PIRAQUE RECH LIMAO 160G  ;;1;202608;3;
74;00034279;475815;BISC PIRAQUE RECH MORANGO 160G;;3;202608;3;
55;00032086;475815;BISC PIRAQUE RECH MORANGO 160G;;7;202608;3;
47;00040658;475815;BISC PIRAQUE RECH MORANGO 160G;;1;202607;3;
47;00040663;475815;BISC PIRAQUE RECH MORANGO 160G;;3;202608;3;
69;00036220;475815;BISC PIRAQUE RECH MORANGO 160G;;3;202608;3;
71;00042821;676896;BISC OREO ORIGINAL 90GRS      ;;2;202608;3;
51;00019841;805637;BISC OREO CHOCOLATE 90GRS     ;;1;202607;4;
40;00062905;805637;BISC OREO CHOCOLATE 90GRS     ;;7;202607;4;
76;00075814;805637;BISC OREO CHOCOLATE 90GRS     ;;1;202607;4;
40;00078379;834505;BISC OREO MILK SHAKE MORAN 90G;;11;202608;4;
29;00009179;13045;CO HASKELL CAVALO FORTE 300ML ;;2;202608;20;
78;00018692;13045;CO HASKELL CAVALO FORTE 300ML ;;4;202608;20;
24;00028845;13045;CO HASKELL CAVALO FORTE 300ML ;;0;202608;20;
39;00079838;13045;CO HASKELL CAVALO FORTE 300ML ;;1;202608;20;
77;00023315;883115;CHOC LACTA AO LEITE 90/80GRS  ;;2;202608;7;
53;00077627;76307;BOLO CHOCOBOY 300GR           ;;3;202607;9;
78;00018682;135988;LEAVE IN HASKELL REP PON40/35M;;1;202607;20;
60;00051287;199299;CHOC TRENTO DARK 29G          ;;1;202608;3;
30;00017995;199307;CHOC TRENTO CHOCOLATE 29G     ;;2;202607;3;
77;00023410;287656;CHOC M&M CRISPY 35G           ;;4;202608;4;
53;00078892;354316;BONOBON ARCOR AMARGO 15G      ;;141;202607;1;
24;00077101;261826;BONOBON ARCOR BEIJINHO 15G    ;;1;202607;1;
29;00052061;388660;MASC CAVALO FORTE 300G        ;;2;202608;20;
25;00051473;437863;SH HASKEL ORA PRO NOBIS 300ML ;;0;202608;20;
74;00077689;291518;HERSHEYS CHOCOTUBES COKIES 25G;;1;202607;2;
16;00064613;291500;HERSHEYS CHOCOTUBES AO LEITE 2;;12;202608;2;
